@relation train_80p100_38556_weather_only

@attribute weather_description {'overcast clouds',haze,'scattered clouds','sky is clear','broken clouds',mist,'moderate rain','Sky is Clear','light snow','heavy snow','proximity thunderstorm','few clouds','light rain','light intensity drizzle',fog,'heavy intensity rain',snow,drizzle,'proximity shower rain',thunderstorm,smoke,'thunderstorm with light rain','very heavy rain','heavy intensity drizzle','proximity thunderstorm with rain','thunderstorm with rain','shower drizzle','light shower snow','thunderstorm with heavy rain','thunderstorm with light drizzle','proximity thunderstorm with drizzle',SQUALLS,'light intensity shower rain','freezing rain','light rain and snow',sleet,'thunderstorm with drizzle'}
@attribute traffic_volume numeric

@data
'broken clouds',5246
'sky is clear',3561
'few clouds',3631
mist,1786
'overcast clouds',370
'Sky is Clear',4165
'broken clouds',4343
'broken clouds',6311
'sky is clear',4370
'overcast clouds',4305
mist,1216
mist,2780
'sky is clear',4091
'sky is clear',836
'moderate rain',5552
'sky is clear',6211
'sky is clear',1353
'overcast clouds',3627
'overcast clouds',3143
'Sky is Clear',898
'few clouds',4120
'broken clouds',5905
'sky is clear',5318
'sky is clear',5315
'scattered clouds',508
'sky is clear',5210
'broken clouds',2480
'sky is clear',1637
'scattered clouds',3743
'sky is clear',5941
'sky is clear',3100
'sky is clear',4258
'broken clouds',4941
mist,5138
fog,836
drizzle,7110
'scattered clouds',6519
'sky is clear',4623
'broken clouds',5962
'sky is clear',5273
drizzle,2711
'sky is clear',4763
'sky is clear',313
'sky is clear',4708
haze,5032
mist,4409
'light rain',5001
'overcast clouds',4716
'moderate rain',6807
'light snow',5490
'proximity thunderstorm',1172
'sky is clear',309
fog,890
mist,5544
'sky is clear',693
'overcast clouds',4043
'sky is clear',3651
'light snow',2659
'overcast clouds',412
'few clouds',5857
'light rain',4658
snow,3074
'light rain',3001
'scattered clouds',2100
'few clouds',3699
haze,833
'overcast clouds',4015
'scattered clouds',5827
'scattered clouds',833
'heavy intensity rain',530
'light rain',3382
'sky is clear',1633
'overcast clouds',2508
'broken clouds',4673
mist,2792
haze,4930
drizzle,2042
mist,3166
'Sky is Clear',2915
'scattered clouds',5311
'broken clouds',4451
snow,6157
drizzle,834
'sky is clear',2694
mist,693
mist,1050
mist,5593
'heavy snow',4836
'broken clouds',5634
'light snow',1460
'scattered clouds',1056
'sky is clear',5516
'broken clouds',4782
'sky is clear',1635
'light snow',5263
'sky is clear',1293
'scattered clouds',6172
'light rain',815
'overcast clouds',890
'sky is clear',6161
'proximity thunderstorm',3318
'overcast clouds',2643
'overcast clouds',4577
'few clouds',6442
'sky is clear',414
'proximity thunderstorm',366
'overcast clouds',5176
'sky is clear',4443
haze,5518
'sky is clear',642
'scattered clouds',6276
'proximity thunderstorm',6080
'heavy intensity rain',4540
'light snow',444
'light rain',1012
'sky is clear',2526
'sky is clear',274
mist,2584
'light snow',652
'moderate rain',3511
mist,3377
'proximity thunderstorm',6495
'broken clouds',507
'scattered clouds',3799
'broken clouds',4401
'light snow',737
'sky is clear',6457
'overcast clouds',2085
drizzle,4465
'broken clouds',5549
'sky is clear',3983
'sky is clear',4670
'scattered clouds',329
'sky is clear',6175
drizzle,4460
'light snow',2627
'sky is clear',2076
'sky is clear',1260
'proximity thunderstorm',5620
'sky is clear',4000
'sky is clear',349
'scattered clouds',6328
'sky is clear',6231
'moderate rain',5583
'light rain',4029
'light intensity drizzle',986
'scattered clouds',5347
'sky is clear',3355
'scattered clouds',4415
mist,496
'freezing rain',3866
'Sky is Clear',1001
'few clouds',2291
mist,3224
mist,5349
'sky is clear',4087
'sky is clear',2566
mist,775
'scattered clouds',6286
fog,2367
mist,877
'sky is clear',3626
mist,247
haze,5212
'broken clouds',4023
drizzle,1908
'scattered clouds',418
mist,5327
'light rain',5166
'moderate rain',3125
'light intensity drizzle',1999
'overcast clouds',382
mist,1856
snow,4007
'proximity thunderstorm',24
'broken clouds',5446
mist,6198
mist,321
'sky is clear',5012
'scattered clouds',5573
'light rain',508
'light rain',4847
'scattered clouds',4913
'heavy intensity rain',2910
mist,4614
'sky is clear',4278
'few clouds',6303
'light rain',3473
'scattered clouds',4547
haze,417
'light snow',858
'sky is clear',6435
mist,3119
'Sky is Clear',3390
'thunderstorm with light rain',4085
'Sky is Clear',3435
'Sky is Clear',5631
'broken clouds',354
'sky is clear',2981
'sky is clear',5210
'sky is clear',2026
'broken clouds',2001
'few clouds',5284
'sky is clear',889
'scattered clouds',3804
'light rain',4153
'light rain',2519
'sky is clear',4827
'light rain',4132
'sky is clear',2948
'light rain',627
'sky is clear',1524
'overcast clouds',6325
'broken clouds',6375
'sky is clear',779
'light intensity drizzle',3032
'Sky is Clear',1917
'overcast clouds',5226
'moderate rain',581
mist,5492
'sky is clear',2777
'heavy snow',6850
fog,541
'sky is clear',3930
'Sky is Clear',3333
'light snow',5034
'sky is clear',2272
'few clouds',364
'sky is clear',5428
'overcast clouds',6289
drizzle,4734
mist,542
'overcast clouds',3178
'proximity thunderstorm',3346
'heavy snow',571
mist,6485
'overcast clouds',4494
'overcast clouds',5578
'sky is clear',5584
mist,576
'light snow',391
'sky is clear',2785
'sky is clear',6010
'light intensity shower rain',4695
'Sky is Clear',387
'broken clouds',2612
mist,5053
'light rain',5286
'sky is clear',1062
'light rain',5995
'scattered clouds',4899
'broken clouds',3611
'broken clouds',848
'sky is clear',263
'sky is clear',895
'overcast clouds',5298
'few clouds',383
'heavy intensity rain',260
'broken clouds',4680
'scattered clouds',365
'Sky is Clear',4854
'sky is clear',2642
'sky is clear',6986
mist,2713
'sky is clear',5740
'sky is clear',1660
'sky is clear',300
'scattered clouds',4905
'sky is clear',891
'sky is clear',1132
fog,811
'few clouds',5031
'sky is clear',3637
'scattered clouds',4827
'sky is clear',748
'sky is clear',475
'overcast clouds',855
'light rain',1978
'heavy intensity rain',4173
'sky is clear',5945
'moderate rain',4687
'sky is clear',4768
'proximity thunderstorm',517
'scattered clouds',692
'heavy intensity rain',3564
'broken clouds',5931
'moderate rain',5182
'light rain',812
'light intensity drizzle',964
'overcast clouds',3096
'few clouds',4836
'sky is clear',3650
'Sky is Clear',5016
'sky is clear',5057
'overcast clouds',1012
'sky is clear',1706
mist,348
'scattered clouds',4362
'proximity thunderstorm',3598
'moderate rain',6170
'sky is clear',4794
mist,1917
'Sky is Clear',419
'overcast clouds',4584
'sky is clear',2950
'moderate rain',2587
'sky is clear',900
'broken clouds',4510
'sky is clear',5866
'light rain',2807
'broken clouds',5783
'overcast clouds',5290
'broken clouds',2837
'broken clouds',2996
'scattered clouds',4572
'sky is clear',5429
'Sky is Clear',4880
'light snow',2283
'sky is clear',2322
mist,958
'light snow',2205
mist,479
'few clouds',3550
'scattered clouds',5706
mist,1062
'broken clouds',1513
'scattered clouds',5116
'broken clouds',438
'sky is clear',5744
'light snow',1177
mist,2373
'light intensity drizzle',4882
mist,2161
'proximity thunderstorm',3929
'Sky is Clear',573
'overcast clouds',859
'light snow',2537
haze,5313
'sky is clear',5184
'sky is clear',3031
'sky is clear',3093
mist,6904
'scattered clouds',4948
'sky is clear',544
'light snow',4559
'scattered clouds',3783
mist,970
'few clouds',3343
'moderate rain',3071
'scattered clouds',4959
'sky is clear',6321
'sky is clear',5376
'sky is clear',2029
haze,394
'light rain',2863
'sky is clear',3105
haze,746
'few clouds',4063
'light snow',3189
mist,4803
'overcast clouds',439
mist,4171
'Sky is Clear',2937
'overcast clouds',5322
'light snow',3371
'moderate rain',5737
'sky is clear',5205
'sky is clear',3565
'Sky is Clear',5324
'moderate rain',4355
'broken clouds',6160
'sky is clear',6049
mist,5285
'sky is clear',1697
'scattered clouds',1758
'light rain',3716
'heavy intensity rain',5416
'light intensity shower rain',2286
fog,909
'sky is clear',2837
'moderate rain',4850
'light snow',2161
haze,5960
'sky is clear',6236
'overcast clouds',2191
'sky is clear',5120
'scattered clouds',6421
'overcast clouds',6649
'sky is clear',4920
'sky is clear',1461
'Sky is Clear',4331
'sky is clear',537
'broken clouds',373
'light snow',4749
'sky is clear',2772
'sky is clear',6462
'sky is clear',3558
'light snow',4050
'sky is clear',976
'moderate rain',5094
'scattered clouds',5500
'sky is clear',569
mist,3024
'sky is clear',896
mist,411
'sky is clear',5779
'scattered clouds',3398
mist,5125
'light snow',2289
'moderate rain',1798
'heavy intensity rain',1495
'sky is clear',587
'sky is clear',1845
'sky is clear',1470
'few clouds',3187
'moderate rain',4619
'broken clouds',5132
'proximity thunderstorm',386
'Sky is Clear',5615
mist,6300
mist,309
'sky is clear',4793
'sky is clear',427
'few clouds',6899
'light snow',5427
mist,2651
'sky is clear',2365
'light intensity drizzle',4971
'sky is clear',475
'light snow',847
'overcast clouds',1100
'sky is clear',865
mist,386
'sky is clear',1862
'few clouds',4509
'sky is clear',6317
'light rain',6381
mist,3923
'overcast clouds',5449
'Sky is Clear',281
'sky is clear',3437
'few clouds',2724
'sky is clear',1836
'few clouds',5521
'light intensity drizzle',383
'scattered clouds',5097
'broken clouds',4841
'overcast clouds',1215
'sky is clear',1258
haze,745
mist,447
'sky is clear',1618
'sky is clear',5186
'few clouds',1001
'broken clouds',2928
'few clouds',3465
'proximity thunderstorm',5079
'Sky is Clear',4187
'sky is clear',1075
mist,5552
'overcast clouds',4688
'sky is clear',2606
'light intensity drizzle',233
'Sky is Clear',552
'scattered clouds',2432
'broken clouds',6266
'overcast clouds',5287
'sky is clear',444
'broken clouds',2591
'overcast clouds',285
'light intensity drizzle',5165
'broken clouds',270
'few clouds',2613
'light snow',5356
'thunderstorm with light drizzle',424
'scattered clouds',480
'sky is clear',4072
'sky is clear',4397
'heavy snow',664
haze,369
'broken clouds',5442
fog,375
'moderate rain',4734
'light snow',5394
'light rain',823
'scattered clouds',4969
'sky is clear',5290
'sky is clear',256
'light rain',5287
'broken clouds',5821
'light intensity drizzle',427
'overcast clouds',5119
'few clouds',2497
'overcast clouds',357
'light rain',2676
'sky is clear',882
'light rain',6436
'light rain',6186
'few clouds',5173
mist,3382
'sky is clear',1524
'broken clouds',3130
'light intensity drizzle',4119
'sky is clear',6620
'light rain',4452
'light intensity drizzle',5454
mist,4777
'overcast clouds',4858
'sky is clear',2991
'light intensity drizzle',5481
mist,6234
'sky is clear',6605
'sky is clear',4802
'sky is clear',408
'Sky is Clear',314
'broken clouds',3998
'light intensity drizzle',5995
'sky is clear',3996
'overcast clouds',672
'broken clouds',4866
'sky is clear',6073
'light rain',665
haze,5033
'sky is clear',1522
'sky is clear',5694
'scattered clouds',4504
mist,6302
drizzle,330
'sky is clear',4518
fog,1035
'broken clouds',4480
'scattered clouds',425
'sky is clear',356
'overcast clouds',4341
'sky is clear',3978
mist,4327
'sky is clear',322
mist,207
'few clouds',6353
'sky is clear',2872
mist,872
'heavy intensity rain',826
'scattered clouds',5268
drizzle,2856
'sky is clear',5562
'scattered clouds',1918
'scattered clouds',6318
drizzle,2104
'broken clouds',5358
'sky is clear',1365
'light rain',4354
'scattered clouds',5865
'overcast clouds',5099
'proximity thunderstorm with rain',2049
'scattered clouds',3932
'light rain',2693
'light snow',3798
'Sky is Clear',4514
'scattered clouds',5307
'sky is clear',948
'light rain',2940
'sky is clear',355
'Sky is Clear',6068
'scattered clouds',3719
'light rain',1826
'sky is clear',4180
'sky is clear',5883
'overcast clouds',4778
'sky is clear',4424
'sky is clear',4710
'broken clouds',4462
mist,2704
'sky is clear',311
'broken clouds',4532
'scattered clouds',5596
'moderate rain',1603
'sky is clear',472
mist,2923
'sky is clear',4490
'sky is clear',297
'moderate rain',5214
'heavy intensity rain',462
'overcast clouds',380
'sky is clear',1198
'few clouds',5681
haze,2453
mist,735
'overcast clouds',2950
'sky is clear',2032
haze,4807
mist,3395
mist,284
'heavy snow',238
'overcast clouds',5755
thunderstorm,6174
'sky is clear',4966
'moderate rain',5713
'sky is clear',681
'overcast clouds',3868
mist,265
'light rain',1089
'broken clouds',1149
snow,386
'few clouds',3435
'light snow',342
'scattered clouds',2732
'moderate rain',1375
'scattered clouds',3535
mist,6007
'scattered clouds',411
fog,3444
'broken clouds',5018
'moderate rain',2672
'broken clouds',5814
'scattered clouds',4888
'overcast clouds',1003
'sky is clear',5321
'sky is clear',2723
drizzle,2568
'light snow',2517
'broken clouds',5369
'broken clouds',1295
mist,853
'Sky is Clear',5399
'broken clouds',4762
'sky is clear',4461
'few clouds',3220
'sky is clear',620
'Sky is Clear',3716
haze,2183
mist,383
'broken clouds',3007
'sky is clear',378
'heavy intensity rain',2900
'heavy snow',3900
'sky is clear',818
mist,382
mist,5570
'overcast clouds',4548
mist,315
'broken clouds',4634
mist,6091
fog,5605
'sky is clear',5220
'scattered clouds',704
'sky is clear',4460
'sky is clear',282
mist,964
'light rain',5487
'sky is clear',1000
'overcast clouds',368
'sky is clear',440
'scattered clouds',3095
'sky is clear',720
'moderate rain',3544
fog,530
'sky is clear',4213
'moderate rain',5884
'light intensity drizzle',4556
'sky is clear',5143
'sky is clear',893
'sky is clear',6033
'broken clouds',4747
'light rain',6217
'light snow',5055
'proximity thunderstorm',5195
'sky is clear',5762
'Sky is Clear',2402
'light intensity drizzle',3924
'scattered clouds',2877
'broken clouds',5464
'light snow',4364
'sky is clear',3671
mist,3986
'overcast clouds',274
'sky is clear',4693
'overcast clouds',1818
'Sky is Clear',3176
'proximity thunderstorm',4023
'scattered clouds',4303
'light intensity drizzle',6863
'sky is clear',6205
'scattered clouds',4696
'overcast clouds',4309
'overcast clouds',571
'sky is clear',718
'sky is clear',911
'heavy intensity rain',5195
'sky is clear',6052
thunderstorm,439
'Sky is Clear',587
'broken clouds',6415
'few clouds',4714
'sky is clear',614
'broken clouds',4571
haze,5004
'overcast clouds',4270
'scattered clouds',3239
mist,3529
mist,731
'light intensity drizzle',4922
'sky is clear',5752
'light rain',413
'light rain',516
'Sky is Clear',4170
'broken clouds',5659
mist,285
fog,543
haze,272
thunderstorm,1908
'few clouds',3603
'broken clouds',5220
'broken clouds',5047
'broken clouds',5319
'light rain',425
'light rain',1396
'sky is clear',1397
'light rain',2866
'moderate rain',339
mist,3595
'Sky is Clear',1952
mist,321
'sky is clear',578
'few clouds',6679
'broken clouds',2430
mist,2826
mist,3036
mist,6297
mist,3231
'overcast clouds',1237
'broken clouds',755
'scattered clouds',1326
'sky is clear',997
'scattered clouds',2959
'sky is clear',3477
'sky is clear',647
mist,1119
'broken clouds',4471
'sky is clear',2861
'broken clouds',3582
'scattered clouds',791
fog,966
'light intensity drizzle',352
haze,2391
mist,480
'overcast clouds',5410
'sky is clear',6538
'sky is clear',6080
'broken clouds',774
fog,259
'sky is clear',1320
'light rain',5165
'moderate rain',317
'scattered clouds',5447
'broken clouds',6274
'moderate rain',5626
'overcast clouds',2781
'Sky is Clear',677
'light rain',539
snow,4585
mist,5409
'Sky is Clear',6155
'sky is clear',5096
'moderate rain',4947
'sky is clear',2711
'broken clouds',5895
'sky is clear',3281
mist,1472
'sky is clear',5635
mist,4169
mist,3093
'moderate rain',5907
'Sky is Clear',2824
'sky is clear',668
'sky is clear',638
'sky is clear',5031
'sky is clear',1204
'light snow',840
mist,5104
'overcast clouds',5316
'scattered clouds',4116
'overcast clouds',3064
'overcast clouds',326
'sky is clear',6132
fog,5197
snow,1057
'Sky is Clear',5865
'light snow',584
'light rain',2928
'Sky is Clear',3830
'light rain',4196
'few clouds',6470
'moderate rain',2134
'light snow',3400
mist,2903
snow,2823
mist,7
'sky is clear',2804
'light rain',456
mist,475
'broken clouds',4593
'overcast clouds',5955
'overcast clouds',3275
'overcast clouds',2347
'sky is clear',2011
mist,419
'scattered clouds',543
mist,5126
'light rain',5635
'few clouds',4250
mist,5644
'overcast clouds',393
'overcast clouds',387
'light rain',5354
'scattered clouds',270
'overcast clouds',1292
'broken clouds',1400
'broken clouds',2785
mist,4729
'moderate rain',4855
'sky is clear',2191
'light rain',6584
mist,2627
drizzle,6530
'light rain',3946
'very heavy rain',4802
mist,2060
'overcast clouds',2606
mist,2218
mist,5441
'overcast clouds',360
drizzle,6201
'Sky is Clear',4906
'light rain',5068
'overcast clouds',592
'overcast clouds',2900
'sky is clear',1347
'light intensity drizzle',1223
'broken clouds',2959
'broken clouds',5834
'proximity thunderstorm',4000
'heavy snow',3644
'light intensity drizzle',3465
'few clouds',825
'broken clouds',4070
'broken clouds',3110
haze,670
mist,1034
'scattered clouds',5072
'sky is clear',4723
'sky is clear',4674
'sky is clear',1585
'overcast clouds',4403
'overcast clouds',511
'thunderstorm with heavy rain',5705
'sky is clear',4876
'sky is clear',6056
'light rain',5267
'broken clouds',5485
'Sky is Clear',2314
'sky is clear',4781
'sky is clear',3337
mist,858
fog,1117
'overcast clouds',447
mist,3816
'sky is clear',309
'sky is clear',4788
haze,545
'Sky is Clear',4681
'heavy intensity drizzle',2749
'few clouds',3014
haze,4808
'heavy snow',905
mist,6516
'broken clouds',3169
'light rain',3177
'moderate rain',4674
'broken clouds',5950
'broken clouds',2050
'sky is clear',379
'sky is clear',757
'scattered clouds',5739
haze,1841
'heavy intensity rain',4971
'moderate rain',424
'overcast clouds',5283
'sky is clear',1865
thunderstorm,351
'few clouds',5563
'sky is clear',4518
'sky is clear',831
'overcast clouds',5660
'sky is clear',6242
'sky is clear',2849
'sky is clear',6655
'light snow',6796
haze,6046
'heavy snow',3508
'overcast clouds',689
'sky is clear',5270
'overcast clouds',5890
'broken clouds',2473
'sky is clear',3296
'light snow',596
'heavy snow',1770
'light intensity drizzle',5340
'overcast clouds',2993
'broken clouds',4057
'heavy snow',2067
'overcast clouds',3749
fog,5334
'sky is clear',476
'sky is clear',2423
mist,6174
mist,3746
'Sky is Clear',4165
'broken clouds',3770
'overcast clouds',5420
'light rain',344
mist,6650
'few clouds',4713
'sky is clear',1703
fog,313
mist,802
'light rain',4054
'sky is clear',2995
'broken clouds',494
'few clouds',5073
'broken clouds',854
'overcast clouds',5420
'light rain',4299
mist,2944
'sky is clear',4855
'Sky is Clear',3192
'Sky is Clear',2981
drizzle,6020
'sky is clear',335
'thunderstorm with rain',4024
'overcast clouds',4018
'scattered clouds',2030
'sky is clear',1131
mist,1755
'sky is clear',2068
'light rain',1413
'scattered clouds',4533
'light rain',878
'few clouds',3076
'Sky is Clear',4462
'sky is clear',4909
'sky is clear',4608
'scattered clouds',1061
mist,4760
'sky is clear',2202
'light rain',388
haze,1433
'few clouds',4740
sleet,2506
'sky is clear',899
fog,4404
'sky is clear',2685
'moderate rain',2560
'few clouds',2192
mist,3500
'light snow',2547
'broken clouds',6422
'Sky is Clear',4036
'broken clouds',3050
'sky is clear',302
'scattered clouds',6529
'sky is clear',406
'scattered clouds',620
'overcast clouds',3144
'light snow',651
mist,6568
'light intensity shower rain',3693
'scattered clouds',4491
'overcast clouds',3220
mist,2069
mist,2264
'Sky is Clear',4514
'sky is clear',813
'broken clouds',4435
'sky is clear',3062
'sky is clear',2919
fog,283
'light rain',5169
'few clouds',4931
mist,6158
'light snow',4423
mist,2609
'heavy snow',5234
'scattered clouds',314
'sky is clear',561
'overcast clouds',2864
'moderate rain',2308
'light snow',5793
'light rain',388
mist,4554
'sky is clear',2675
'light rain',3963
'light rain',5338
mist,4623
'overcast clouds',5037
'broken clouds',306
mist,6090
'sky is clear',2731
'sky is clear',5793
'proximity thunderstorm',6511
'sky is clear',4922
mist,833
'light snow',6764
'sky is clear',939
'light snow',4389
'Sky is Clear',4361
'overcast clouds',4707
'sky is clear',2194
'sky is clear',4699
fog,4501
'sky is clear',1198
'sky is clear',5000
'sky is clear',521
'light rain',254
mist,1332
mist,258
'light intensity drizzle',4173
'overcast clouds',4232
'sky is clear',1042
'broken clouds',3255
mist,2754
'overcast clouds',3957
mist,4522
'sky is clear',4694
'overcast clouds',2603
'light snow',329
'broken clouds',5034
'sky is clear',2876
mist,1507
'light snow',4008
haze,785
'sky is clear',5111
'sky is clear',528
'few clouds',4733
'broken clouds',5320
'scattered clouds',5005
'broken clouds',2477
'sky is clear',3870
'scattered clouds',4023
'sky is clear',686
mist,5217
'moderate rain',5019
'sky is clear',1742
'scattered clouds',3804
'overcast clouds',2956
'overcast clouds',4725
mist,4150
'overcast clouds',3953
fog,3247
'scattered clouds',915
haze,3700
mist,3215
mist,1744
'Sky is Clear',5618
'broken clouds',5572
'overcast clouds',3618
'sky is clear',908
'sky is clear',924
'light snow',2835
'broken clouds',5725
'heavy intensity rain',758
'overcast clouds',4472
'scattered clouds',3230
'Sky is Clear',4747
haze,4290
'sky is clear',337
'overcast clouds',946
'sky is clear',1563
'overcast clouds',428
'scattered clouds',708
'light snow',3295
'Sky is Clear',1343
'proximity thunderstorm',3322
'broken clouds',4864
'light rain',5923
'scattered clouds',5489
mist,4396
mist,6247
'scattered clouds',5829
'light rain',4933
haze,746
'scattered clouds',2302
'sky is clear',5883
fog,3599
'sky is clear',2964
'light intensity drizzle',885
'few clouds',4329
'sky is clear',4676
'broken clouds',4132
'broken clouds',6688
'sky is clear',4127
'overcast clouds',4623
'light rain',2117
snow,2391
'overcast clouds',5529
'sky is clear',590
'light rain',6153
'Sky is Clear',5979
mist,4648
'scattered clouds',1020
'light rain',5869
'sky is clear',390
'overcast clouds',3004
mist,311
'scattered clouds',3974
'sky is clear',490
'light rain',4120
'sky is clear',3902
mist,264
'broken clouds',4516
'light snow',1271
'sky is clear',6048
'sky is clear',2367
'thunderstorm with heavy rain',10
mist,4040
'overcast clouds',567
'broken clouds',379
'overcast clouds',5124
'moderate rain',517
'few clouds',4974
'sky is clear',5769
'overcast clouds',235
'sky is clear',2857
'sky is clear',1973
'sky is clear',4694
fog,395
'light rain',5185
'sky is clear',1275
'sky is clear',1506
'overcast clouds',746
mist,690
'moderate rain',5120
mist,5453
'scattered clouds',4597
'sky is clear',4513
'sky is clear',3537
'light intensity drizzle',3990
'overcast clouds',5055
'light snow',704
'sky is clear',892
'broken clouds',6604
'sky is clear',5015
'light intensity drizzle',5063
'broken clouds',4640
'sky is clear',348
'overcast clouds',371
'scattered clouds',4904
mist,1943
'overcast clouds',794
'overcast clouds',4532
'sky is clear',1827
'heavy intensity rain',2147
'overcast clouds',384
'light rain',6965
'Sky is Clear',1564
'sky is clear',5143
'sky is clear',4974
'overcast clouds',4615
'broken clouds',4703
'few clouds',2748
'sky is clear',1351
fog,889
fog,3260
'few clouds',4379
'light rain',4683
'broken clouds',5655
'sky is clear',2791
'overcast clouds',2980
'broken clouds',4780
mist,5400
'moderate rain',5511
'Sky is Clear',4141
'few clouds',3031
'moderate rain',938
mist,4719
'sky is clear',3163
'overcast clouds',6173
mist,5257
'broken clouds',5026
mist,5668
'overcast clouds',5300
'sky is clear',3737
'light rain',3609
'overcast clouds',5054
'overcast clouds',4406
'scattered clouds',6160
'light intensity drizzle',5570
'heavy snow',5597
'moderate rain',5295
'sky is clear',5097
'overcast clouds',4204
mist,6695
mist,2986
'scattered clouds',3873
'broken clouds',3543
mist,2606
'thunderstorm with light rain',2296
'light intensity drizzle',4678
'sky is clear',1825
'sky is clear',3716
'overcast clouds',3391
'sky is clear',4913
'broken clouds',6891
'overcast clouds',3265
'broken clouds',6009
mist,5220
'Sky is Clear',3254
'sky is clear',5846
'light rain',4410
'scattered clouds',4324
'scattered clouds',5207
'sky is clear',3504
'sky is clear',6042
'sky is clear',4603
'moderate rain',4041
'broken clouds',4811
'light rain',3816
'light rain',2298
'few clouds',5105
'sky is clear',5886
mist,4303
'scattered clouds',5216
haze,4334
mist,268
mist,570
'scattered clouds',3790
'broken clouds',4664
'few clouds',3318
'overcast clouds',5299
'scattered clouds',492
'thunderstorm with heavy rain',6105
mist,4967
'proximity thunderstorm',3070
mist,841
'overcast clouds',6057
haze,6538
'heavy intensity rain',4788
'broken clouds',6290
haze,5626
'scattered clouds',1072
'sky is clear',3265
'broken clouds',2596
'broken clouds',5092
haze,3234
'proximity shower rain',4809
mist,899
'scattered clouds',3582
'sky is clear',769
'few clouds',4781
'sky is clear',2786
'overcast clouds',5428
'sky is clear',7004
'overcast clouds',299
mist,635
'few clouds',3535
'sky is clear',756
'thunderstorm with heavy rain',1958
mist,649
'moderate rain',5655
'moderate rain',5039
'few clouds',5982
'broken clouds',349
'sky is clear',4444
'sky is clear',1033
'broken clouds',2627
'overcast clouds',795
'light rain',346
'Sky is Clear',3073
'sky is clear',1383
'sky is clear',888
'light snow',807
mist,4876
'sky is clear',1260
mist,332
'light snow',232
'sky is clear',373
'sky is clear',5703
'sky is clear',786
'light rain',829
mist,2883
'few clouds',1373
'overcast clouds',707
'sky is clear',266
mist,6112
'sky is clear',2451
'few clouds',6002
'Sky is Clear',1110
'light snow',658
'overcast clouds',696
'sky is clear',2512
'overcast clouds',3421
'few clouds',3871
'sky is clear',4334
'light rain',782
'sky is clear',4164
'overcast clouds',887
'overcast clouds',5289
'sky is clear',3513
'light snow',5904
'sky is clear',2053
'sky is clear',1994
'sky is clear',760
'sky is clear',661
mist,764
haze,5274
'sky is clear',903
mist,4796
'light rain',6509
drizzle,5771
'overcast clouds',540
'sky is clear',4092
'overcast clouds',2168
'overcast clouds',748
'sky is clear',1211
mist,5065
'scattered clouds',5726
'broken clouds',6020
'sky is clear',1397
'few clouds',4283
'scattered clouds',2807
'broken clouds',5241
'overcast clouds',3497
'scattered clouds',4760
'light intensity drizzle',742
'light snow',3627
'sky is clear',3534
drizzle,4853
'overcast clouds',377
drizzle,4792
'sky is clear',5072
'broken clouds',6398
mist,420
'sky is clear',406
'light snow',2743
'overcast clouds',6474
'sky is clear',413
'overcast clouds',783
'sky is clear',4323
'sky is clear',4125
'sky is clear',6062
'broken clouds',5778
'light snow',2830
'Sky is Clear',949
'overcast clouds',1516
'sky is clear',632
'light rain',269
'sky is clear',1278
'broken clouds',2863
'Sky is Clear',349
'overcast clouds',338
mist,344
'moderate rain',709
drizzle,5582
'moderate rain',6584
'overcast clouds',3950
'light intensity drizzle',4516
'sky is clear',5934
'light rain',1733
'light snow',6612
'heavy snow',881
mist,2293
'sky is clear',2823
'overcast clouds',863
mist,469
'sky is clear',381
mist,1978
'sky is clear',4903
'broken clouds',4412
mist,4668
'sky is clear',824
haze,5226
mist,240
'sky is clear',4709
'sky is clear',5906
haze,4788
'sky is clear',2956
'overcast clouds',516
'overcast clouds',2713
'few clouds',5912
'sky is clear',5823
'few clouds',5401
'overcast clouds',5604
'light rain',947
'light rain',378
'sky is clear',338
'broken clouds',4776
'Sky is Clear',5270
'overcast clouds',5198
'sky is clear',6490
'sky is clear',5767
mist,356
'light snow',4459
'overcast clouds',6827
mist,1498
'sky is clear',6264
mist,3938
'broken clouds',4804
'Sky is Clear',5294
'overcast clouds',5183
'scattered clouds',4296
drizzle,6087
'sky is clear',311
'sky is clear',1688
'few clouds',6121
mist,2347
'light rain',269
'Sky is Clear',3190
mist,3153
'overcast clouds',3098
'scattered clouds',5783
'sky is clear',2538
'broken clouds',5476
'broken clouds',4167
'moderate rain',6133
'few clouds',482
'sky is clear',5829
'sky is clear',2773
'overcast clouds',5014
'sky is clear',3029
'light snow',4790
'sky is clear',1870
'broken clouds',319
'Sky is Clear',517
'sky is clear',4861
'scattered clouds',3538
mist,335
'light snow',275
'Sky is Clear',3032
'overcast clouds',2762
'Sky is Clear',797
'overcast clouds',2693
mist,393
'overcast clouds',2453
'broken clouds',4744
'few clouds',5041
'moderate rain',2563
'scattered clouds',4870
'sky is clear',3031
'overcast clouds',2471
mist,1290
'scattered clouds',359
mist,3930
'moderate rain',4877
mist,602
thunderstorm,6331
'scattered clouds',2056
'Sky is Clear',5651
'sky is clear',436
mist,1943
'sky is clear',4547
'sky is clear',4362
'few clouds',6258
'sky is clear',2278
mist,2797
'overcast clouds',4999
'broken clouds',3045
'moderate rain',4534
'sky is clear',4486
'Sky is Clear',6054
'sky is clear',213
'moderate rain',4398
'sky is clear',2870
'sky is clear',4595
'thunderstorm with light rain',2117
'sky is clear',4441
